,cutoff_e,cutoff_s,roc_auc,share
0,5,0,0.6837831133393392,0.017230381942967946
1,10,5,0.6551923076923077,0.012501807234038934
2,25,10,0.7871438583838143,0.028762661269061005
3,50,25,0.809571042045781,0.04471734859631069
4,75,50,0.8025338070628768,0.043747820688364816
5,100,75,0.7955188721615406,0.04281231130350476
6,150,100,0.8210839434990163,0.08269902962162898
7,200,150,0.8111252147165136,0.07286767644982693
8,300,200,0.8147440469446052,0.12075725232389035
9,400,300,0.8359360810499654,0.10001445787231147
10,500,400,0.833311088236812,0.08414481685277633
11,600,500,0.8317526213754144,0.07078404191082044
12,700,600,0.8351665410260857,0.05699803543029179
13,800,700,0.836360140330584,0.04770247399709142
14,1000000,800,0.8340034762622996,0.17425988450711413
