,cutoff_e,cutoff_s,roc_auc,share
0,5,0,0.6727991739717495,0.016415150170143514
1,10,5,0.6214946328418082,0.011887853232726734
2,25,10,0.764184680911523,0.027237757064654533
3,50,25,0.7984308770209294,0.04281698476105933
4,75,50,0.7895691888742422,0.041729545790797455
5,100,75,0.7976148955244661,0.04111554963752034
6,150,100,0.8108138590836621,0.08055925432756325
7,200,150,0.8020450968335187,0.0712753365882527
8,300,200,0.8126261288787581,0.12012871726586773
9,400,300,0.8312091997793036,0.1008433200177541
10,500,400,0.8243701374812891,0.08504216600088771
11,600,500,0.8259458312046224,0.07205947625388372
12,700,600,0.8150699777982544,0.058196478769048675
13,800,700,0.8292103272481528,0.04919366770232283
14,1000000,800,0.8265667086226653,0.18149874241751737
